transaction_id,amount,payment_status,failure_reason,retry_count,recovery_probability,expected_recovery,diagnosis,recommended_action,policy_approved,policy_reason,requires_human,execution_status
txn_008859,31222.57,abandoned,none,0,0.5279233695704092,16483.124361047972,Checkout was abandoned before payment completion. A payment-link based recovery flow is more appropriate than an automatic payment retry.,ESCALATE,True,High-value transaction with insufficient confidence for automated recovery. Human review is required.,True,ESCALATED
txn_006656,44966.65,abandoned,none,0,0.3619874817302534,16277.3643953457,Checkout was abandoned before payment completion. A payment-link based recovery flow is more appropriate than an automatic payment retry.,ESCALATE,True,High-value transaction with insufficient confidence for automated recovery. Human review is required.,True,ESCALATED
txn_006480,39519.08,failed,technical_error,1,0.4057301845058689,16034.083619902194,A technical payment failure was detected. A controlled retry may recover the payment without requiring aggressive intervention.,ESCALATE,True,High-value transaction with insufficient confidence for automated recovery. Human review is required.,True,ESCALATED
txn_002714,24213.95,abandoned,none,0,0.5072124052817493,12281.615820872014,Checkout was abandoned before payment completion. A payment-link based recovery flow is more appropriate than an automatic payment retry.,ESCALATE,True,High-value transaction with insufficient confidence for automated recovery. Human review is required.,True,ESCALATED
txn_008357,20380.03,abandoned,none,0,0.5760017283897221,11738.932504634387,Checkout was abandoned before payment completion. A payment-link based recovery flow is more appropriate than an automatic payment retry.,ESCALATE,True,High-value transaction with insufficient confidence for automated recovery. Human review is required.,True,ESCALATED
txn_005953,43899.03,failed,technical_error,2,0.2366726464277554,10389.69960571143,The transaction has already received multiple recovery attempts. Further automatic retries could create unnecessary customer friction.,ESCALATE,True,Maximum automated retry limit reached. Further automated retries are blocked.,True,ESCALATED
txn_004025,20820.83,abandoned,none,0,0.4902119844270208,10206.62039171765,Checkout was abandoned before payment completion. A payment-link based recovery flow is more appropriate than an automatic payment retry.,ESCALATE,True,High-value transaction with insufficient confidence for automated recovery. Human review is required.,True,ESCALATED
txn_007423,13223.44,abandoned,none,0,0.5763871651117198,7621.821094624921,Checkout was abandoned before payment completion. A payment-link based recovery flow is more appropriate than an automatic payment retry.,ESCALATE,True,High-value transaction with insufficient confidence for automated recovery. Human review is required.,True,ESCALATED
txn_008793,13275.52,failed,insufficient_funds,0,0.5379532010669272,7141.608479828014,The payment appears to have failed because of insufficient funds. A reminder or alternate payment path is preferable to repeated retries.,ESCALATE,True,High-value transaction with insufficient confidence for automated recovery. Human review is required.,True,ESCALATED
txn_005672,12826.69,abandoned,none,0,0.5550465195110852,7119.409641347642,Checkout was abandoned before payment completion. A payment-link based recovery flow is more appropriate than an automatic payment retry.,ESCALATE,True,High-value transaction with insufficient confidence for automated recovery. Human review is required.,True,ESCALATED
txn_006498,11728.43,abandoned,none,0,0.6039013928914588,7082.815213429973,Checkout was abandoned before payment completion. A payment-link based recovery flow is more appropriate than an automatic payment retry.,PAYMENT_LINK,True,Checkout was abandoned. A payment link provides a customer-controlled recovery path without automatically retrying payment.,False,SIMULATED_EXECUTION
txn_003355,11473.38,abandoned,none,0,0.6103624961057087,7002.920855569316,Checkout was abandoned before payment completion. A payment-link based recovery flow is more appropriate than an automatic payment retry.,PAYMENT_LINK,True,Checkout was abandoned. A payment link provides a customer-controlled recovery path without automatically retrying payment.,False,SIMULATED_EXECUTION
txn_003173,10880.4,abandoned,none,0,0.6293531588963822,6847.614110056197,Checkout was abandoned before payment completion. A payment-link based recovery flow is more appropriate than an automatic payment retry.,PAYMENT_LINK,True,Checkout was abandoned. A payment link provides a customer-controlled recovery path without automatically retrying payment.,False,SIMULATED_EXECUTION
txn_001739,12202.39,abandoned,none,0,0.5452979498119306,6653.938249805603,Checkout was abandoned before payment completion. A payment-link based recovery flow is more appropriate than an automatic payment retry.,ESCALATE,True,High-value transaction with insufficient confidence for automated recovery. Human review is required.,True,ESCALATED
txn_004006,11700.19,abandoned,none,0,0.5512132857450783,6449.300173741708,Checkout was abandoned before payment completion. A payment-link based recovery flow is more appropriate than an automatic payment retry.,ESCALATE,True,High-value transaction with insufficient confidence for automated recovery. Human review is required.,True,ESCALATED
txn_000274,9332.01,failed,network_error,0,0.6895799386943999,6435.166883695527,The failure appears potentially temporary. A controlled retry may be appropriate if the recovery probability is sufficiently high.,RETRY,True,Failure appears temporary or technical and recovery probability is sufficient for a controlled retry.,False,SIMULATED_EXECUTION
txn_004355,18347.95,failed,bank_decline,0,0.34532277754988,6335.965056346321,"The payment was declined by the bank. Repeated automatic retries may not be appropriate, so a softer recovery path or escalation should be considered.",ESCALATE,True,High-value transaction with insufficient confidence for automated recovery. Human review is required.,True,ESCALATED
